i,average stops
0,0
1,0.5
2,0.756
3,0.9355
4,1.0995
5,1.256
6,1.339
7,1.4715
8,1.563
9,1.647
10,1.7505
11,1.8285
12,1.8625
13,2.019
14,2.0695
15,2.1785
16,2.228
17,2.3025
18,2.385
19,2.3755
20,2.4505
21,2.578
22,2.6715
23,2.724
24,2.722
25,2.79
26,2.857
27,2.957
28,2.931
29,3.0605
30,3.2055
31,3.1655
32,3.111
33,3.2235
34,3.179
35,3.3405
36,3.277
37,3.345
38,3.5875
39,3.6285
40,3.5445
41,3.5005
42,3.57
43,3.706
44,3.569
45,3.7815
46,3.833
47,3.871
48,4.02
49,3.9195
50,3.838
51,4.019
52,4.037
53,4.071
54,4.136
55,4.2915
56,4.1645
57,4.18
58,4.191
59,4.2285
60,4.3855
61,4.2805
62,4.5325
63,4.518
64,4.652
65,4.617
66,4.745
67,4.4515
68,4.5395
69,4.774
70,4.694
71,4.624
72,4.6755
73,4.724
74,5.007
75,4.9065
76,4.8655
77,5.113
78,5.0605
79,5.093
80,4.9805
81,5.1215
82,5.0215
83,5.308
84,5.3185
85,5.171
86,4.982
87,5.3935
88,5.258
89,5.301
90,5.388
91,5.34
92,5.405
93,5.5455
94,5.4065
95,5.6055
96,5.805
97,5.5455
98,5.742
99,5.722
100,5.6705
101,5.61
102,5.5425
103,5.867
104,5.5765
105,5.691
106,5.776
107,5.7395
108,5.919
109,5.6855
110,6.0705
111,5.988
112,5.9535
113,6.0055
114,6.065
115,5.9015
116,6.0985
117,6.123
118,6.393
119,6.186
120,6.4125
121,6.32
122,6.1775
123,6.0285
124,6.425
125,6.2515
126,6.265
127,6.357
128,6.216
129,6.2125
130,6.4135
131,6.2775
132,6.488
133,6.5595
134,6.445
135,6.478
136,6.417
137,6.72
138,6.6455
139,6.4115
140,6.826
141,6.8335
142,6.661
143,6.507
144,6.9805
145,6.632
146,6.6835
147,6.794
148,6.716
149,6.5005
150,7.022
151,6.5515
152,6.9115
153,7.09
154,6.943
155,6.89
156,7.271
157,6.7955
158,7.1635
159,7.262
160,7.2785
161,7.1135
162,6.98
163,7.035
164,7.002
165,7.4475
166,7.534
167,7.401
168,7.553
169,7.381
170,7.431
171,7.5055
172,7.6145
173,7.4485
174,7.729
175,7.7665
176,7.503
177,7.2765
178,7.54
179,7.417
180,7.1855
181,7.527
182,7.468
183,7.7845
184,7.4115
185,7.504
186,7.4695
187,7.4875
188,7.5205
189,7.4245
190,7.869
191,7.989
192,8.0545
193,7.9315
194,7.7015
195,7.9385
196,8.0525
197,7.9045
198,7.65
199,7.9385
200,8.0485
201,7.9285
202,8.0695
203,8.124
204,7.9215
205,8.49
206,8.0565
207,8.408
208,8.0255
209,8.053
210,8.2795
211,8.568
212,8.126
213,8.419
214,8.229
215,8.2585
216,8.3715
217,8.1245
218,8.2345
219,8.3325
220,8.2955
221,8.4025
222,8.403
223,8.519
224,8.1805
225,8.641
226,8.554
227,8.7415
228,8.8525
229,8.4665
230,8.2235
231,8.31
232,8.4305
233,8.632
234,8.365
235,8.209
236,8.9025
237,9.0825
238,8.727
239,8.8895
240,8.4105
241,8.826
242,8.637
243,8.9005
244,8.6775
245,8.533
246,8.9295
247,8.7755
248,8.9435
249,8.5585
250,8.9505
251,8.74
252,9.0205
253,8.9645
254,8.882
255,9.165
256,8.781
257,8.8655
258,8.9255
259,9.083
260,9.0765
261,8.719
262,8.636
263,9.01
264,9.082
265,9.1325
266,9.2025
267,9.308
268,9.147
269,9.1555
270,9.239
271,8.962
272,9.647
273,9.2745
274,9.3465
275,9.2055
276,9.3585
277,9.357
278,9.3805
279,8.975
280,9.54
281,9.5685
282,9.231
283,9.324
284,9.234
285,9.505
286,9.4805
287,9.502
288,9.5445
289,9.6505
290,9.7725
291,9.7825
292,9.4975
293,9.3245
294,9.7475
295,9.6355
296,9.3185
297,9.809
298,9.401
299,9.831
300,9.461
301,9.586
302,9.3255
303,9.742
304,9.7485
305,9.6715
306,9.725
307,10.0465
308,9.846
309,9.9805
310,10.2575
311,9.683
312,9.9665
313,10.1745
314,9.9575
315,9.9155
316,9.8875
317,10.287
318,9.587
319,10.142
320,10.3955
321,9.7615
322,9.6555
323,10.6375
324,10.168
325,9.914
326,10.1215
327,10.347
328,10.4865
329,10.027
330,10.3135
331,10.122
332,9.754
333,10.4615
334,10.2945
335,10.2325
336,10.177
337,10.153
338,10.398
339,10.4205
340,10.5155
341,10.534
342,9.7265
343,10.5905
344,10.637
345,10.6425
346,10.328
347,10.5055
348,10.168
349,10.5175
350,10.3915
351,10.8725
352,10.6745
353,10.544
354,10.9265
355,10.91
356,10.294
357,10.2185
358,10.732
359,10.4635
360,10.8375
361,10.772
362,11.1765
363,10.501
364,10.9035
365,10.637
366,10.8585
367,10.8465
368,11.1515
369,10.718
370,10.506
371,10.913
